Feature,Importance_Mean,Importance_Std
b_last3_avg_no_contest_flag,0.0,0.0
b_last5_avg_draw_flag,0.0,0.0
last3_avg_draw_flag_diff,0.0,0.0
b_last3_avg_scheduled_rounds,0.0,0.0
b_last3_avg_finish_loss_flag,0.0,0.0
b_last_fight_no_contest_flag,0.0,0.0
b_last_fight_finish_win_flag,0.0,0.0
b_last3_avg_draw_flag,0.0,0.0
b_last_fight_draw_flag,0.0,0.0
b_last_fight_decision_win_flag,0.0,0.0
a_prior_title_fights,0.0,0.0
a_prior_no_contests,0.0,0.0
a_prior_draws,0.0,0.0
b_last_fight_sub_att_against,-1.632702375224208e-07,9.975584376366486e-05
b_avg_sub_att_against,-1.1918727341120316e-05,0.0005872759407847586
b_last5_avg_decision_win_flag,-1.4204510666826486e-05,0.0001277839706007907
b_last5_avg_decision_loss_flag,-1.5020861854557014e-05,0.0002174209131621302
b_last3_avg_title_fight_flag,-2.2531292781913238e-05,3.944116935293074e-05
a_last_fight_win_flag,-2.6939589195736543e-05,0.00012010520899590281
a_last3_avg_ctrl_seconds_for,-3.9674667724668804e-05,0.0021209085148256135
a_last_fight_kd_for,-4.7021828414391585e-05,0.00012110712256273593
b_last_fight_title_fight_flag,-4.734836888948823e-05,7.85158407126124e-05
b_prior_losses,-4.767490936459969e-05,7.471749850455064e-05
a_last5_avg_loss_flag,-4.914434150252352e-05,0.0005417141634526817
last3_avg_sub_att_against_diff,-5.404244862903251e-05,0.00018543819291374141
last3_avg_finish_win_flag_diff,-5.502207005433727e-05,0.0003972702746706221
last5_avg_loss_flag_diff,-5.779766409269212e-05,0.0004394549394568769
a_last_fight_finish_loss_flag,-6.890004024611152e-05,0.00018725864918318037
last3_avg_win_flag_diff,-7.028783726525933e-05,0.0016116202734210723
b_last5_avg_sig_attempted_against,-8.441071281334681e-05,0.0007215782777995171
last3_avg_decision_win_flag_diff,-9.045171160269779e-05,0.0002894079063265023
a_last3_avg_decision_win_flag,-9.779887229244277e-05,8.046655680498432e-05
b_last_fight_scheduled_rounds,-9.894176395530696e-05,0.00014708682143017303
prior_title_fights_diff,-9.894176395533657e-05,7.089463695534039e-05
last3_avg_no_contest_flag_diff,-0.00010188062823118423,0.00013341626237597815
b_rw_avg_sub_att_for,-0.00010465622226953167,0.0005384788573719955
prior_decision_wins_diff,-0.0001103706805838008,0.00013921734443071384
a_last3_avg_kd_against,-0.00011216665319682128,8.625491087120533e-05
avg_sig_attempted_against_diff,-0.00011624840913559975,0.00032357286014590404
last_fight_sig_attempted_for_diff,-0.0001165749496107038,0.000893115719113433
division_norm_code,-0.00012294248887514402,0.0002342814697824552
b_last3_avg_kd_for,-0.00012571808291352108,0.00025141443086247763
b_last_fight_sub_att_for,-0.0001288202174269652,0.0004334901368026594
last5_avg_kd_against_diff,-0.00014424925487540227,0.0011131630692489093
b_pre_fight_elo,-0.00014988207807089537,0.001145403334598261
avg_kd_for_diff,-0.00015037188878355145,0.0005429611585692772
a_avg_sub_att_for,-0.00015216786139665334,0.0005919593425249106
