fight_id,fight_date,a_fighter_name,b_fighter_name,a_prior_fights,b_prior_fights,a_prior_win_rate,b_prior_win_rate,predicted_side,predicted_winner,actual_winner,predicted_correct,chosen_odds,edge,bet_placed,profit_units
25b8c932da5e91f4,2021-02-13,Maycee Barber,Alexa Grasso,8,14,0.75,0.5714,a,Maycee Barber,Alexa Grasso,0,1.9346,0.2331,1,-1.0
25b8c932da5e91f4,2021-02-13,Alexa Grasso,Maycee Barber,15,9,0.6,0.6667,b,Maycee Barber,Alexa Grasso,0,1.9346,0.1498,1,-1.0
26fbf026beb8e9f8,2021-02-13,Kelvin Gastelum,Ian Heinisch,32,10,0.625,0.6,a,Kelvin Gastelum,Kelvin Gastelum,1,2.74,0.26,1,1.74
26fbf026beb8e9f8,2021-02-13,Ian Heinisch,Kelvin Gastelum,11,33,0.5455,0.6364,b,Kelvin Gastelum,Kelvin Gastelum,1,1.4878,-0.0358,0,0.0
54e2490959f66dc2,2021-02-13,Ricky Simon,Brian Kelleher,14,20,0.7143,0.6,a,Ricky Simon,Ricky Simon,1,1.3953,-0.0024,0,0.0
54e2490959f66dc2,2021-02-13,Brian Kelleher,Ricky Simon,21,15,0.5714,0.7333,b,Ricky Simon,Ricky Simon,1,3.1,0.4108,1,2.1
8cf076524cad5a55,2021-02-13,Belal Muhammad,Dhiego Lima,22,18,0.7273,0.4444,a,Belal Muhammad,Belal Muhammad,1,1.2237,-0.0899,0,0.0
8cf076524cad5a55,2021-02-13,Dhiego Lima,Belal Muhammad,19,23,0.4211,0.7391,b,Belal Muhammad,Belal Muhammad,1,4.4,0.5119,1,3.4
9201312dd860fa5a,2021-02-13,Maki Pitolo,Julian Marquez,8,4,0.25,0.5,b,Julian Marquez,Julian Marquez,1,1.565,-0.139,0,0.0
9201312dd860fa5a,2021-02-13,Julian Marquez,Maki Pitolo,5,9,0.6,0.2222,a,Julian Marquez,Julian Marquez,1,2.45,0.1918,1,1.45
96b1430379c0694a,2021-02-13,Rodolfo Vieira,Anthony Hernandez,4,6,1.0,0.3333,a,Rodolfo Vieira,Anthony Hernandez,0,4.65,0.7849,1,-1.0
96b1430379c0694a,2021-02-13,Anthony Hernandez,Rodolfo Vieira,7,5,0.4286,0.8,b,Rodolfo Vieira,Anthony Hernandez,0,1.2053,-0.0296,0,0.0
be94e5b7a35ce5f2,2021-02-13,Kamaru Usman,Gilbert Burns,24,30,1.0,0.8,a,Kamaru Usman,Kamaru Usman,1,3.28,0.6951,1,2.28
be94e5b7a35ce5f2,2021-02-13,Gilbert Burns,Kamaru Usman,31,25,0.7742,1.0,b,Kamaru Usman,Kamaru Usman,1,1.3597,0.2646,1,0.3597
f98e954823bd6e02,2021-02-13,Andre Ewell,Chris Gutierrez,12,8,0.6667,0.75,b,Chris Gutierrez,Chris Gutierrez,1,2.12,0.2783,1,1.12
f98e954823bd6e02,2021-02-13,Chris Gutierrez,Andre Ewell,9,13,0.7778,0.6154,a,Chris Gutierrez,Chris Gutierrez,1,1.7752,0.2145,1,0.7752
05ceb8b2f93993a6,2021-02-20,Phil Hawes,Nassourdine Imavov,2,2,1.0,1.0,a,Phil Hawes,Phil Hawes,1,1.8,0.4444,1,0.8
05ceb8b2f93993a6,2021-02-20,Nassourdine Imavov,Phil Hawes,3,3,0.6667,1.0,b,Phil Hawes,Phil Hawes,1,1.9524,0.4878,1,0.9524
